Location,Count Date,Day,24 Hr. Total Vol.
104TH STREET W/O BUDLONG AVENUE,10/12/2012 12:00:00 AM,Fri,136
104TH STREET W/O BUDLONG AVENUE,10/11/2012 12:00:00 AM,Thur,764
104TH STREET W/O BUDLONG AVENUE,10/10/2012 12:00:00 AM,Wed,833
104TH STREET W/O BUDLONG AVENUE,03/02/2008 12:00:00 AM,Sun,844
104TH STREET W/O BUDLONG AVENUE,03/01/2008 12:00:00 AM,Sat,907
104TH STREET W/O BUDLONG AVENUE,02/29/2008 12:00:00 AM,Fri,1017
104TH STREET W/O BUDLONG AVENUE,02/28/2008 12:00:00 AM,Thur,951
104TH STREET W/O BUFORD AVENUE,09/23/2008 12:00:00 AM,Tue,2765
104TH STREET W/O GRAMERCY PLACE,10/02/2013 12:00:00 AM,Wed,3015
104TH STREET W/O GRAMERCY PLACE,08/19/2013 12:00:00 AM,Mon,2500
104TH STREET W/O NORMANDIE AVENUE,03/02/2008 12:00:00 AM,Sun,932
104TH STREET W/O NORMANDIE AVENUE,03/01/2008 12:00:00 AM,Sat,955
104TH STREET W/O NORMANDIE AVENUE,02/29/2008 12:00:00 AM,Fri,1026
104TH STREET W/O NORMANDIE AVENUE,02/28/2008 12:00:00 AM,Thur,944
104TH STREET W/O VERMONT AVENUE,03/04/2008 12:00:00 AM,Tue,1300
104TH STREET W/O WILTON PLACE,07/26/2008 12:00:00 AM,Sat,2903
104TH STREET W/O WILTON PLACE,07/25/2008 12:00:00 AM,Fri,3302
122ND STREET E/O GRANDEE AVENUE,12/17/2014 12:00:00 AM,Wed,327
122ND STREET E/O DEFIANCE AVENUE,12/17/2014 12:00:00 AM,Wed,331
104TH STREET W/O WILTON PLACE,07/24/2008 12:00:00 AM,Thur,3194
105TH STREET E/O WESTERN AVENUE,07/22/2013 12:00:00 AM,Mon,888
105TH STREET W/O BUDLONG AVENUE,01/28/2014 12:00:00 AM,Tue,1133
105TH STREET W/O BUDLONG AVENUE,03/04/2008 12:00:00 AM,Tue,1074
105TH STREET W/O DENKER AVENUE,10/28/2010 12:00:00 AM,Thur,975
105TH STREET W/O DENKER AVENUE,10/27/2010 12:00:00 AM,Wed,995
105TH STREET W/O DENKER AVENUE,10/26/2010 12:00:00 AM,Tue,841
105TH STREET W/O DENKER AVENUE,03/04/2008 12:00:00 AM,Tue,953
105TH STREET W/O DENKER AVENUE,03/03/2008 12:00:00 AM,Mon,1006
105TH STREET W/O NORMANDIE AVENUE,03/02/2008 12:00:00 AM,Sun,935
105TH STREET W/O NORMANDIE AVENUE,03/01/2008 12:00:00 AM,Sat,1051
105TH STREET W/O NORMANDIE AVENUE,02/29/2008 12:00:00 AM,Fri,1123
105TH STREET W/O NORMANDIE AVENUE,02/28/2008 12:00:00 AM,Thur,1018
105TH STREET W/O VERMONT AVENUE,01/28/2014 12:00:00 AM,Tue,952
105TH STREET W/O VERMONT AVENUE,03/02/2008 12:00:00 AM,Sun,1022
105TH STREET W/O VERMONT AVENUE,03/01/2008 12:00:00 AM,Sat,1099
105TH STREET W/O VERMONT AVENUE,02/29/2008 12:00:00 AM,Fri,1101
KEESE DRIVE W/O TANFIELD DRIVE,12/17/2014 12:00:00 AM,Wed,345
105TH STREET W/O VERMONT AVENUE,02/28/2008 12:00:00 AM,Thur,993
106TH STREET E N/O PEARBLOSSOM HIGHWAY,07/24/2011 12:00:00 AM,Sun,688
106TH STREET E N/O PEARBLOSSOM HIGHWAY,07/23/2011 12:00:00 AM,Sat,730
106TH STREET E N/O PEARBLOSSOM HIGHWAY,07/22/2011 12:00:00 AM,Fri,769
106TH STREET E N/O PEARBLOSSOM HIGHWAY,07/21/2011 12:00:00 AM,Thur,738
106TH STREET E S/O AVENUE S-12,08/30/2011 12:00:00 AM,Tue,1522
106TH STREET E S/O AVENUE S-4,08/30/2011 12:00:00 AM,Tue,1561
106TH STREET E S/O PEARBLOSSOM HIGHWAY,07/21/2011 12:00:00 AM,Thur,276
